ts,task,seq,start_delay_ms,completion_delay_ms,runtime_ms,preemptions,deadline_ms
2026-02-20T05:04:05.697864300+00:00,antenna_alignment,208,3719.021,3782.618,3.000,0,50.000
2026-02-20T05:04:05.767703200+00:00,antenna_alignment,209,3733.406,3802.458,3.000,0,50.000
2026-02-20T05:04:05.846956600+00:00,antenna_alignment,210,3753.213,3831.707,3.000,0,50.000
2026-02-20T05:04:05.914623600+00:00,antenna_alignment,211,3782.306,3849.377,3.000,0,50.000
2026-02-20T05:04:05.995589800+00:00,antenna_alignment,212,3800.183,3880.344,3.000,0,50.000
2026-02-20T05:04:06.062713500+00:00,antenna_alignment,213,3831.116,3897.466,3.000,0,50.000
2026-02-20T05:04:06.128975100+00:00,antenna_alignment,214,3848.184,3913.729,3.000,0,50.000
2026-02-20T05:04:06.203223400+00:00,antenna_alignment,215,3864.277,3937.977,3.000,0,50.000
2026-02-20T05:04:06.279347800+00:00,antenna_alignment,216,3889.345,3964.102,3.000,0,50.000
2026-02-20T05:04:06.335634600+00:00,antenna_alignment,217,3914.496,3970.388,3.000,0,50.000
2026-02-20T05:04:06.387455+00:00,antenna_alignment,218,3920.997,3972.209,3.000,0,50.000
2026-02-20T05:04:06.430090900+00:00,antenna_alignment,219,3922.776,3964.845,3.000,0,50.000
2026-02-20T05:04:06.498436700+00:00,antenna_alignment,220,3915.703,3983.191,3.000,0,50.000
2026-02-20T05:04:06.554352+00:00,antenna_alignment,221,3934.225,3989.106,3.000,0,50.000
2026-02-20T05:04:06.601686100+00:00,antenna_alignment,222,3940.135,3986.440,3.000,0,50.000
2026-02-20T05:04:06.651617600+00:00,antenna_alignment,223,3937.455,3986.371,3.000,0,50.000
2026-02-20T05:04:06.731265700+00:00,antenna_alignment,224,3937.507,4016.019,3.000,0,50.000
2026-02-20T05:04:06.797630300+00:00,antenna_alignment,225,3966.487,4032.385,3.000,0,50.000
2026-02-20T05:04:06.853468900+00:00,antenna_alignment,226,3983.081,4038.223,3.000,0,50.000
2026-02-20T05:04:06.906263100+00:00,antenna_alignment,227,3989.111,4041.017,3.000,0,50.000
2026-02-20T05:04:06.962140900+00:00,antenna_alignment,228,3991.596,4046.896,3.000,0,50.000
2026-02-20T05:04:07.018314400+00:00,antenna_alignment,229,3997.267,4053.069,3.000,0,50.000
2026-02-20T05:04:07.106943300+00:00,antenna_alignment,230,4004.059,4091.696,3.000,0,50.000
2026-02-20T05:04:07.181177700+00:00,antenna_alignment,231,4044.459,4115.932,3.000,0,50.000
2026-02-20T05:04:07.247658300+00:00,antenna_alignment,232,4066.714,4132.412,3.000,0,50.000
2026-02-20T05:04:07.292471+00:00,antenna_alignment,233,4082.999,4127.225,3.000,0,50.000
2026-02-20T05:04:07.338978+00:00,antenna_alignment,234,4078.362,4123.732,3.000,0,50.000
2026-02-20T05:04:07.394872300+00:00,antenna_alignment,235,4074.205,4129.626,3.000,0,50.000
2026-02-20T05:04:07.420628600+00:00,antenna_alignment,236,4080.228,4105.383,3.000,0,50.000
2026-02-20T05:04:07.496159400+00:00,antenna_alignment,237,4055.988,4130.913,3.000,0,50.000
2026-02-20T05:04:07.554846700+00:00,antenna_alignment,238,4081.797,4139.600,3.000,0,50.000
2026-02-20T05:04:07.614519600+00:00,antenna_alignment,239,4090.566,4149.274,3.000,0,50.000
2026-02-20T05:04:07.670313+00:00,antenna_alignment,240,4099.894,4155.068,3.000,0,50.000
