ts,total,critical,important,normal
2026-03-18T08:04:18.153688300+00:00,1,0,0,1
2026-03-18T08:04:18.174079500+00:00,1,0,1,0
2026-03-18T08:04:18.213850300+00:00,1,0,1,0
2026-03-18T08:04:22.446844100+00:00,1,0,0,1
2026-03-18T08:04:22.449091300+00:00,64,0,64,0
2026-03-18T08:04:22.450903400+00:00,64,0,20,44
2026-03-18T08:04:22.452339400+00:00,19,0,0,19
2026-03-18T08:04:22.477217800+00:00,1,0,1,0
2026-03-18T08:04:22.524420600+00:00,1,0,1,0
2026-03-18T08:04:22.552132800+00:00,1,0,0,1
2026-03-18T08:04:22.553804+00:00,1,0,0,1
2026-03-18T08:04:22.571641700+00:00,1,0,1,0
2026-03-18T08:04:22.618322400+00:00,1,0,1,0
2026-03-18T08:04:22.651892800+00:00,1,0,0,1
2026-03-18T08:04:22.681751200+00:00,1,0,1,0
2026-03-18T08:04:22.715662900+00:00,1,0,1,0
2026-03-18T08:04:22.751952500+00:00,1,0,0,1
2026-03-18T08:04:22.753768500+00:00,1,0,0,1
2026-03-18T08:04:22.777408900+00:00,1,0,1,0
2026-03-18T08:04:22.825244700+00:00,1,0,1,0
2026-03-18T08:04:22.851877800+00:00,1,0,0,1
2026-03-18T08:04:22.873310800+00:00,1,0,1,0
2026-03-18T08:04:22.921671900+00:00,1,0,1,0
2026-03-18T08:04:22.952705900+00:00,2,0,0,2
2026-03-18T08:04:22.968640400+00:00,1,0,1,0
2026-03-18T08:04:23.031186300+00:00,1,0,1,0
2026-03-18T08:04:23.052234600+00:00,1,0,0,1
2026-03-18T08:04:23.079260300+00:00,1,0,1,0
2026-03-18T08:04:23.127457500+00:00,1,0,1,0
2026-03-18T08:04:23.151732200+00:00,1,0,0,1
2026-03-18T08:04:23.153789100+00:00,1,0,0,1
2026-03-18T08:04:23.173692800+00:00,1,0,1,0
2026-03-18T08:04:23.221513200+00:00,1,0,1,0
2026-03-18T08:04:27.448640300+00:00,1,0,0,1
2026-03-18T08:04:27.449763800+00:00,64,0,64,0
2026-03-18T08:04:27.452006100+00:00,64,0,20,44
2026-03-18T08:04:27.452654600+00:00,19,0,0,19
2026-03-18T08:04:27.479994700+00:00,1,0,1,0
2026-03-18T08:04:27.527074900+00:00,1,0,1,0
2026-03-18T08:04:27.553871700+00:00,2,0,0,2
2026-03-18T08:04:27.574504700+00:00,1,0,1,0
2026-03-18T08:04:27.622546800+00:00,1,0,1,0
2026-03-18T08:04:27.651886400+00:00,1,0,0,1
2026-03-18T08:04:27.669647200+00:00,1,0,1,0
2026-03-18T08:04:27.732664100+00:00,1,0,1,0
2026-03-18T08:04:27.751859400+00:00,1,0,0,1
2026-03-18T08:04:27.753848600+00:00,1,0,0,1
2026-03-18T08:04:27.777979800+00:00,1,0,1,0
2026-03-18T08:04:27.825729300+00:00,1,0,1,0
2026-03-18T08:04:27.854078100+00:00,1,0,0,1
2026-03-18T08:04:27.873383600+00:00,1,0,1,0
2026-03-18T08:04:27.920866200+00:00,1,0,1,0
2026-03-18T08:04:27.951773100+00:00,1,0,0,1
2026-03-18T08:04:27.953824400+00:00,1,0,0,1
2026-03-18T08:04:27.967819200+00:00,1,0,1,0
2026-03-18T08:04:28.017722+00:00,1,0,1,0
2026-03-18T08:04:28.051740300+00:00,1,0,0,1
2026-03-18T08:04:28.078153+00:00,1,0,1,0
2026-03-18T08:04:28.126340100+00:00,1,0,1,0
2026-03-18T08:04:28.151660600+00:00,1,0,0,1
2026-03-18T08:04:28.153731800+00:00,1,0,0,1
2026-03-18T08:04:28.172103300+00:00,1,0,1,0
2026-03-18T08:04:28.219161400+00:00,1,0,1,0
2026-03-18T08:04:32.448287700+00:00,1,0,0,1
2026-03-18T08:04:32.450156500+00:00,64,0,64,0
2026-03-18T08:04:32.452077800+00:00,64,0,20,44
2026-03-18T08:04:32.453481600+00:00,19,0,0,19
2026-03-18T08:04:32.479450700+00:00,1,0,1,0
2026-03-18T08:04:32.518327900+00:00,1,0,1,0
2026-03-18T08:04:32.551971800+00:00,1,0,0,1
2026-03-18T08:04:32.553759300+00:00,1,0,0,1
2026-03-18T08:04:32.568157200+00:00,1,0,1,0
2026-03-18T08:04:32.618225700+00:00,1,0,1,0
2026-03-18T08:04:32.651825100+00:00,1,0,0,1
2026-03-18T08:04:32.667782400+00:00,1,0,1,0
2026-03-18T08:04:32.730473500+00:00,1,0,1,0
2026-03-18T08:04:32.754289600+00:00,2,0,0,2
2026-03-18T08:04:32.767732500+00:00,1,0,1,0
2026-03-18T08:04:32.817728100+00:00,1,0,1,0
2026-03-18T08:04:32.851716200+00:00,1,0,0,1
2026-03-18T08:04:32.867978600+00:00,1,0,1,0
2026-03-18T08:04:32.917900400+00:00,1,0,1,0
2026-03-18T08:04:32.951670300+00:00,1,0,0,1
2026-03-18T08:04:32.953676200+00:00,1,0,0,1
2026-03-18T08:04:32.967704500+00:00,1,0,1,0
2026-03-18T08:04:33.017781500+00:00,1,0,1,0
2026-03-18T08:04:33.051718500+00:00,1,0,0,1
2026-03-18T08:04:33.075585700+00:00,1,0,1,0
2026-03-18T08:04:33.117770400+00:00,1,0,1,0
2026-03-18T08:04:33.151922700+00:00,1,0,0,1
2026-03-18T08:04:33.153731+00:00,1,0,0,1
2026-03-18T08:04:33.167892100+00:00,1,0,1,0
2026-03-18T08:04:33.233051300+00:00,1,0,1,0
2026-03-18T08:04:37.451972+00:00,1,0,0,1
2026-03-18T08:04:37.453445900+00:00,64,0,64,0
2026-03-18T08:04:37.454749700+00:00,64,0,20,44
2026-03-18T08:04:37.455377300+00:00,19,0,0,19
2026-03-18T08:04:37.483982+00:00,1,0,1,0
2026-03-18T08:04:37.531147100+00:00,1,0,1,0
2026-03-18T08:04:37.551825700+00:00,1,0,0,1
2026-03-18T08:04:37.562462100+00:00,1,0,0,1
