ts,command_id,command_type,target_system,priority,is_urgent,send_time_ms,deadline_met,network_met,adherent,deadline_violation_ms,precision_ms,reason
2026-03-21T11:23:35.577777400+00:00,6941fd02-ef79-4fac-8636-ba08a76aee9f,PowerControl,PowerManagement,3,false,0.145,true,true,true,0.000,14.440,ok
2026-03-21T11:23:35.597790600+00:00,375288b0-b82c-499a-9a69-3cfdf28fa8eb,ThermalControl,ThermalManagement,1,true,0.092,true,true,true,0.000,0.430,ok
2026-03-21T11:23:35.677147200+00:00,f6734148-5a4b-43a4-9333-3a4cd8362386,PowerControl,PowerManagement,3,false,0.094,true,true,true,0.000,13.791,ok
2026-03-21T11:23:35.764042400+00:00,54dd914a-c433-4384-ba6c-fcde384887ed,PowerControl,PowerManagement,3,false,0.105,true,true,true,0.000,0.480,ok
2026-03-21T11:23:35.877269800+00:00,817ba020-416c-4859-9398-ba7678629d1e,AttitudeControl,AttitudeControl,3,false,0.088,true,true,true,0.000,13.507,ok
2026-03-21T11:23:35.977013600+00:00,5e862d95-6365-4d68-b315-7dcb8a9db4f4,AttitudeControl,AttitudeControl,3,false,0.068,true,true,true,0.000,13.252,ok
2026-03-21T11:23:36.078450600+00:00,d5ce46d5-9475-4167-8dc9-58be863135b5,AttitudeControl,AttitudeControl,3,false,0.098,true,true,true,0.000,14.441,ok
2026-03-21T11:23:40.600682900+00:00,8b314491-fb01-418e-a621-802655034ac2,Emergency,AllSystems,0,true,0.101,true,true,true,0.000,0.467,ok
2026-03-21T11:23:45.263275+00:00,3318e405-57b9-4e09-a82c-f9ead6737b8f,ThermalControl,ThermalManagement,3,false,0.301,true,true,true,0.000,3.228,ok
2026-03-21T11:23:45.359590200+00:00,68ec62c7-afad-403a-a1e7-7d5b21805581,ThermalControl,ThermalManagement,3,false,0.087,true,true,true,0.000,0.149,ok
2026-03-21T11:23:45.469709200+00:00,b6b3b710-00e5-4cca-9960-da4e2d2e49ba,ThermalControl,ThermalManagement,3,false,0.136,true,true,true,0.000,9.294,ok
2026-03-21T11:23:45.574346700+00:00,91ceab7d-271a-44c2-be70-ca3d049c8b96,PowerControl,PowerManagement,3,false,0.085,true,true,true,0.000,14.103,ok
2026-03-21T11:23:45.612167400+00:00,bc648b5a-b0fb-4171-a580-a2eadcf7c438,PowerControl,PowerManagement,1,true,0.088,true,true,true,0.000,1.337,ok
2026-03-21T11:23:45.676784500+00:00,42370193-f34c-4518-b352-d05bb61535f0,PowerControl,PowerManagement,3,false,0.136,true,true,true,0.000,15.836,ok
